"Size of n","Time","Operation"
"1700","0.000000953674316","insert"
"1700","0.000000000000000","delete"
"1700","0.000113010406494","access"
"1710","0.000000000000000","insert"
"1710","0.000000953674316","delete"
"1710","0.000113964080811","access"
"1720","0.000000715255737","insert"
"1720","0.000000000000000","delete"
"1720","0.000116109848022","access"
"1730","0.000000953674316","insert"
"1730","0.000000000000000","delete"
"1730","0.000116109848022","access"
"1740","0.000001192092896","insert"
"1740","0.000000000000000","delete"
"1740","0.000116109848022","access"
"1750","0.000000000000000","insert"
"1750","0.000000000000000","delete"
"1750","0.000118017196655","access"
"1760","0.000000000000000","insert"
"1760","0.000001192092896","delete"
"1760","0.000117063522339","access"
"1770","0.000000000000000","insert"
"1770","0.000001192092896","delete"
"1770","0.000120162963867","access"
"1780","0.000000953674316","insert"
"1780","0.000000953674316","delete"
"1780","0.000119924545288","access"
"1790","0.000000953674316","insert"
"1790","0.000000953674316","delete"
"1790","0.000118017196655","access"
"1800","0.000000000000000","insert"
"1800","0.000000000000000","delete"
"1800","0.000121116638184","access"
"1810","0.000000000000000","insert"
"1810","0.000000953674316","delete"
"1810","0.000121116638184","access"
"1820","0.000000953674316","insert"
"1820","0.000000000000000","delete"
"1820","0.000123023986816","access"
"1830","0.000000000000000","insert"
"1830","0.000000000000000","delete"
"1830","0.000124931335449","access"
"1840","0.000000715255737","insert"
"1840","0.000000953674316","delete"
"1840","0.000123023986816","access"
"1850","0.000000000000000","insert"
"1850","0.000001192092896","delete"
"1850","0.000121831893921","access"
"1860","0.000000000000000","insert"
"1860","0.000001192092896","delete"
"1860","0.000123977661133","access"
"1870","0.000000000000000","insert"
"1870","0.000000953674316","delete"
"1870","0.000131130218506","access"
"1880","0.000000953674316","insert"
"1880","0.000000000000000","delete"
"1880","0.000128030776978","access"
"1890","0.000000000000000","insert"
"1890","0.000000000000000","delete"
"1890","0.000129222869873","access"
"1900","0.000000000000000","insert"
"1900","0.000000000000000","delete"
"1900","0.000129938125610","access"
"1910","0.000000953674316","insert"
"1910","0.000000000000000","delete"
"1910","0.000128030776978","access"
"1920","0.000001192092896","insert"
"1920","0.000000953674316","delete"
"1920","0.000129699707031","access"
"1930","0.000001192092896","insert"
"1930","0.000000000000000","delete"
"1930","0.000130891799927","access"
"1940","0.000000000000000","insert"
"1940","0.000000000000000","delete"
"1940","0.000132799148560","access"
"1950","0.000000953674316","insert"
"1950","0.000000953674316","delete"
"1950","0.000129699707031","access"
"1960","0.000000000000000","insert"
"1960","0.000000953674316","delete"
"1960","0.000133037567139","access"
"1970","0.000000953674316","insert"
"1970","0.000000953674316","delete"
"1970","0.000133037567139","access"
"1980","0.000000000000000","insert"
"1980","0.000000953674316","delete"
"1980","0.000133275985718","access"
"1990","0.000000715255737","insert"
"1990","0.000000953674316","delete"
"1990","0.000133991241455","access"
"2000","0.000000715255737","insert"
"2000","0.000000000000000","delete"
"2000","0.000135898590088","access"
"2010","0.000000000000000","insert"
"2010","0.000000953674316","delete"
"2010","0.000135183334351","access"
"2020","0.000001192092896","insert"
"2020","0.000000000000000","delete"
"2020","0.000135898590088","access"
"2030","0.000000000000000","insert"
"2030","0.000000000000000","delete"
"2030","0.000135898590088","access"
"2040","0.000000000000000","insert"
"2040","0.000000000000000","delete"
"2040","0.000135898590088","access"
"2050","0.000000000000000","insert"
"2050","0.000000953674316","delete"
"2050","0.000147342681885","access"
"2060","0.000000953674316","insert"
"2060","0.000000000000000","delete"
"2060","0.000138998031616","access"
"2070","0.000000953674316","insert"
"2070","0.000000953674316","delete"
"2070","0.000145912170410","access"
"2080","0.000000953674316","insert"
"2080","0.000001192092896","delete"
"2080","0.000146865844727","access"
"2090","0.000001192092896","insert"
"2090","0.000000000000000","delete"
"2090","0.000144958496094","access"
"2100","0.000000000000000","insert"
"2100","0.000000953674316","delete"
"2100","0.000143051147461","access"
"2110","0.000000715255737","insert"
"2110","0.000000953674316","delete"
"2110","0.000141859054565","access"
"2120","0.000000953674316","insert"
"2120","0.000000953674316","delete"
"2120","0.000155210494995","access"
"2130","0.000000000000000","insert"
"2130","0.000000953674316","delete"
"2130","0.000143766403198","access"
"2140","0.000000953674316","insert"
"2140","0.000000000000000","delete"
"2140","0.000145912170410","access"
"2150","0.000000953674316","insert"
"2150","0.000000953674316","delete"
"2150","0.000148057937622","access"
"2160","0.000000953674316","insert"
"2160","0.000001192092896","delete"
"2160","0.000147104263306","access"
"2170","0.000000000000000","insert"
"2170","0.000001192092896","delete"
"2170","0.000144004821777","access"
"2180","0.000000953674316","insert"
"2180","0.000000953674316","delete"
"2180","0.000146865844727","access"
"2190","0.000000953674316","insert"
"2190","0.000000000000000","delete"
"2190","0.000151157379150","access"
"2200","0.000000000000000","insert"
"2200","0.000000953674316","delete"
"2200","0.000165939331055","access"
"2210","0.000000000000000","insert"
"2210","0.000001192092896","delete"
"2210","0.000151872634888","access"
"2220","0.000000000000000","insert"
"2220","0.000000000000000","delete"
"2220","0.000149965286255","access"
"2230","0.000000953674316","insert"
"2230","0.000001192092896","delete"
"2230","0.000150918960571","access"
"2240","0.000000000000000","insert"
"2240","0.000000953674316","delete"
"2240","0.000149965286255","access"
"2250","0.000000000000000","insert"
"2250","0.000000953674316","delete"
"2250","0.000153064727783","access"
"2260","0.000000715255737","insert"
"2260","0.000000000000000","delete"
"2260","0.000154256820679","access"
"2270","0.000000000000000","insert"
"2270","0.000000953674316","delete"
"2270","0.000154733657837","access"
"2280","0.000000000000000","insert"
"2280","0.000000000000000","delete"
"2280","0.000210046768188","access"
"2290","0.000000953674316","insert"
"2290","0.000000715255737","delete"
"2290","0.000155210494995","access"
"2300","0.000001192092896","insert"
"2300","0.000001192092896","delete"
"2300","0.000158786773682","access"
"2310","0.000000000000000","insert"
"2310","0.000000953674316","delete"
"2310","0.000162124633789","access"
"2320","0.000000953674316","insert"
"2320","0.000001192092896","delete"
"2320","0.000163793563843","access"
"2330","0.000000953674316","insert"
"2330","0.000000953674316","delete"
"2330","0.000156879425049","access"
"2340","0.000000000000000","insert"
"2340","0.000001192092896","delete"
"2340","0.000164747238159","access"
"2350","0.000000000000000","insert"
"2350","0.000001192092896","delete"
"2350","0.000161886215210","access"
"2360","0.000000000000000","insert"
"2360","0.000001192092896","delete"
"2360","0.000178098678589","access"
"2370","0.000000953674316","insert"
"2370","0.000000000000000","delete"
"2370","0.000168085098267","access"
"2380","0.000000000000000","insert"
"2380","0.000000953674316","delete"
"2380","0.000349998474121","access"
"2390","0.000001192092896","insert"
"2390","0.000000953674316","delete"
"2390","0.000328063964844","access"
"2400","0.000000953674316","insert"
"2400","0.000000953674316","delete"
"2400","0.000329017639160","access"
"2410","0.000001192092896","insert"
"2410","0.000001192092896","delete"
"2410","0.000454187393188","access"
"2420","0.000000953674316","insert"
"2420","0.000000953674316","delete"
"2420","0.000315904617310","access"
"2430","0.000000953674316","insert"
"2430","0.000000953674316","delete"
"2430","0.000339984893799","access"
"2440","0.000000715255737","insert"
"2440","0.000000000000000","delete"
"2440","0.000175714492798","access"
"2450","0.000000953674316","insert"
"2450","0.000000953674316","delete"
"2450","0.000171899795532","access"
"2460","0.000000953674316","insert"
"2460","0.000000953674316","delete"
"2460","0.000326156616211","access"
"2470","0.000001907348633","insert"
"2470","0.000000953674316","delete"
"2470","0.000180006027222","access"
"2480","0.000000953674316","insert"
"2480","0.000001192092896","delete"
"2480","0.000229120254517","access"
"2490","0.000001192092896","insert"
"2490","0.000001192092896","delete"
"2490","0.000204086303711","access"
"2500","0.000000953674316","insert"
"2500","0.000000953674316","delete"
"2500","0.000180006027222","access"
"2510","0.000001192092896","insert"
"2510","0.000000953674316","delete"
"2510","0.000181913375854","access"
"2520","0.000000953674316","insert"
"2520","0.000000000000000","delete"
"2520","0.000191926956177","access"
"2530","0.000000000000000","insert"
"2530","0.000000000000000","delete"
"2530","0.000186920166016","access"
"2540","0.000000953674316","insert"
"2540","0.000000953674316","delete"
"2540","0.000245809555054","access"
"2550","0.000002145767212","insert"
"2550","0.000000000000000","delete"
"2550","0.000197887420654","access"
"2560","0.000000953674316","insert"
"2560","0.000000953674316","delete"
"2560","0.000201225280762","access"
"2570","0.000000715255737","insert"
"2570","0.000000000000000","delete"
"2570","0.000200271606445","access"
"2580","0.000000000000000","insert"
"2580","0.000000000000000","delete"
"2580","0.000201940536499","access"
"2590","0.000000000000000","insert"
"2590","0.000000953674316","delete"
"2590","0.000200986862183","access"
"2600","0.000000000000000","insert"
"2600","0.000000000000000","delete"
"2600","0.000203847885132","access"
"2610","0.000000000000000","insert"
"2610","0.000000953674316","delete"
"2610","0.000208139419556","access"
"2620","0.000000953674316","insert"
"2620","0.000000953674316","delete"
"2620","0.000197172164917","access"
